dementia_center_id,state,district,address_details,latitude,longitude
95,서울특별시,영등포구,당산로 29길 9,37.74507907,126.8050112
96,서울특별시,영등포구,당산로 29길 9,35.95692803,126.9456811
97,서울특별시,영등포구,당산로 29길 9,35.84208791,128.5376272
98,서울특별시,영등포구,당산로 29길 9,36.31684464,127.4153053
99,서울특별시,영등포구,당산로 29길 9,36.34298597,127.4204612
100,서울특별시,영등포구,당산로 29길 9,36.32557592,127.4212943
101,서울특별시,영등포구,당산로 29길 9,36.355071,127.3833597
102,서울특별시,영등포구,당산로 29길 9,36.354491,127.328811
103,서울특별시,영등포구,당산로 29길 9,36.30507741,127.561253
104,서울특별시,영등포구,당산로 29길 9,36.59664192,126.6630613
105,서울특별시,영등포구,당산로 29길 9,37.49662351,127.505177
106,서울특별시,영등포구,당산로 29길 9,37.44374981,129.172207
107,서울특별시,영등포구,당산로 29길 9,35.05320532,127.6882086
108,서울특별시,영등포구,당산로 29길 9,36.35633335,126.6045349
109,서울특별시,영등포구,당산로 29길 9,37.30026357,126.8450629
110,서울특별시,영등포구,당산로 29길 9,37.32106713,126.8152625
111,서울특별시,영등포구,당산로 29길 9,37.47021905,126.8970437
112,서울특별시,영등포구,당산로 29길 9,35.32470339,126.9807889
113,서울특별시,영등포구,당산로 29길 9,35.10448346,129.006333
114,서울특별시,영등포구,당산로 29길 9,35.09496298,128.9615461
115,서울특별시,영등포구,당산로 29길 9,37.60542184,126.9669268
116,서울특별시,영등포구,당산로 29길 9,35.18696192,126.8668762
117,서울특별시,영등포구,당산로 29길 9,35.81213116,127.1302611
118,서울특별시,영등포구,당산로 29길 9,35.92145499,127.1219109
119,서울특별시,영등포구,당산로 29길 9,35.55439734,126.8936176
120,서울특별시,영등포구,당산로 29길 9,36.005882,127.6716991
121,서울특별시,영등포구,당산로 29길 9,35.44376255,126.6832504
122,서울특별시,영등포구,당산로 29길 9,35.21832577,128.6823024
123,서울특별시,영등포구,당산로 29길 9,35.18239943,128.562816
124,서울특별시,영등포구,당산로 29길 9,35.149898,128.661939
125,서울특별시,영등포구,당산로 29길 9,37.5103126,127.0463796
126,서울특별시,영등포구,당산로 29길 9,37.6215461,126.9277208
127,서울특별시,영등포구,당산로 29길 9,35.0912179,129.067935
128,서울특별시,영등포구,당산로 29길 9,36.89916499,127.5288853
129,서울특별시,영등포구,당산로 29길 9,35.87790606,128.5833355
130,서울특별시,영등포구,당산로 29길 9,35.055391,126.982021
131,서울특별시,영등포구,당산로 29길 9,36.66194441,129.1180656
132,서울특별시,영등포구,당산로 29길 9,36.16849628,127.7759673
133,서울특별시,영등포구,당산로 29길 9,38.1481382,127.3025602
134,서울특별시,영등포구,당산로 29길 9,36.28305231,126.9093363
135,서울특별시,영등포구,당산로 29길 9,35.82511247,128.7432823
136,서울특별시,영등포구,당산로 29길 9,35.917407,128.2785293
137,서울특별시,영등포구,당산로 29길 9,34.33582329,126.731327
138,서울특별시,영등포구,당산로 29길 9,34.966691,127.4860721
139,서울특별시,영등포구,당산로 29길 9,37.546403,127.0443497
140,서울특별시,영등포구,당산로 29길 9,35.15910893,128.1636152
141,서울특별시,영등포구,당산로 29길 9,35.8918696,128.588898
142,서울특별시,영등포구,당산로 29길 9,37.58794943,127.211114
143,서울특별시,영등포구,당산로 29길 9,37.726331,127.189819
144,서울특별시,영등포구,당산로 29길 9,37.30402833,127.0103129
145,서울특별시,영등포구,당산로 29길 9,37.25874424,126.9711281
146,서울특별시,영등포구,당산로 29길 9,37.271433,127.0125194
147,서울특별시,영등포구,당산로 29길 9,37.2568819,127.0697092
148,서울특별시,영등포구,당산로 29길 9,35.54535759,129.3363268
149,서울특별시,영등포구,당산로 29길 9,35.061896,126.524248
150,서울특별시,영등포구,당산로 29길 9,36.98284257,128.3707522
151,서울특별시,영등포구,당산로 29길 9,35.230025,128.922444
152,서울특별시,영등포구,당산로 29길 9,35.234777,128.845757
153,서울특별시,영등포구,당산로 29길 9,35.202341,128.8072142
154,서울특별시,영등포구,당산로 29길 9,34.480308,126.2629491
155,서울특별시,영등포구,당산로 29길 9,37.52682789,126.6704777
156,서울특별시,영등포구,당산로 29길 9,37.73723039,126.4847095
157,서울특별시,영등포구,당산로 29길 9,35.654342,128.7381579
158,서울특별시,영등포구,당산로 29길 9,37.55484369,126.9486358
159,서울특별시,영등포구,당산로 29길 9,37.63340541,127.0171111
160,서울특별시,영등포구,당산로 29길 9,37.6296739,127.0411454
161,서울특별시,영등포구,당산로 29길 9,36.59626916,127.2928906
162,서울특별시,영등포구,당산로 29길 9,35.39783844,127.3639897
163,서울특별시,영등포구,당산로 29길 9,35.274681,126.504163
164,서울특별시,영등포구,당산로 29길 9,35.24205368,129.0924546
165,서울특별시,영등포구,당산로 29길 9,36.97085167,127.9280135
166,서울특별시,영등포구,당산로 29길 9,36.41354512,129.373558
167,서울특별시,영등포구,당산로 29길 9,37.479893,126.666572
168,서울특별시,영등포구,당산로 29길 9,37.479893,126.666572
169,서울특별시,영등포구,당산로 29길 9,36.3538097,127.3286392
170,서울특별시,영등포구,당산로 29길 9,37.2070698,127.0786007
171,서울특별시,영등포구,당산로 29길 9,34.79533941,126.7033414
172,서울특별시,영등포구,당산로 29길 9,34.57046051,126.6120436
173,서울특별시,영등포구,당산로 29길 9,37.58292926,126.9364454
174,서울특별시,영등포구,당산로 29길 9,37.4443116,127.1440597
175,서울특별시,영등포구,당산로 29길 9,37.44215706,127.1705795
176,서울특별시,영등포구,당산로 29길 9,37.36738858,127.1155093
177,서울특별시,영등포구,당산로 29길 9,36.2730058,127.250047
178,서울특별시,영등포구,당산로 29길 9,36.8197764,127.1398813
179,서울특별시,영등포구,당산로 29길 9,37.6714558,127.055257
180,서울특별시,영등포구,당산로 29길 9,37.61704648,127.0156399
181,서울특별시,영등포구,당산로 29길 9,38.10994629,127.9892065
182,서울특별시,영등포구,당산로 29길 9,35.3233003,126.808367
183,서울특별시,영등포구,당산로 29길 9,37.46303566,126.6472695
184,서울특별시,영등포구,당산로 29길 9,37.29477832,127.6399084
185,서울특별시,영등포구,당산로 29길 9,35.72283463,126.7355916
186,서울특별시,영등포구,당산로 29길 9,37.40478889,126.9645303
187,서울특별시,영등포구,당산로 29길 9,35.33215753,129.0379934
188,서울특별시,영등포구,당산로 29길 9,37.47864563,126.9509331
189,서울특별시,영등포구,당산로 29길 9,37.62308177,126.7211346
190,서울특별시,영등포구,당산로 29길 9,37.68663718,126.600449
191,서울특별시,영등포구,당산로 29길 9,37.09407248,126.9011824
